track_name,album_name,album_type,release_year,artists,duration,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,author,producer
I Stay Away,Greatest Hits,compilation album,2001,Alice In Chains,254,0.0915,0.195,0.855,0.000571,6,0.0886,-5.328,1,0.0442,82.974,4,0.36,"Layne Staley, Jerry Cantrell, Mike Inez",Alice in Chains
Grind,Greatest Hits,compilation album,2001,Alice In Chains,286,0.000206,0.254,0.923,0.000301,11,0.302,-4.523,1,0.0531,176.605,4,0.317,Jerry Cantrell,"Toby Wright, Alice in Chains"
Heaven Beside You,Greatest Hits,compilation album,2001,Alice In Chains,329,0.00217,0.531,0.769,0.00101,10,0.138,-4.902,0,0.0349,111.272,4,0.523,"Jerry Cantrell, Mike Inez","Toby Wright, Alice in Chains"
Again,Greatest Hits,compilation album,2001,Alice In Chains,245,0.000896,0.547,0.902,0.0198,7,0.133,-5.349,1,0.0533,123.193,4,0.366,"Layne Staley, Jerry Cantrell","Toby Wright, Alice in Chains"
Get Born Again,Music Bank,compilation album,1999,Alice In Chains,324,0.00129,0.339,0.863,0.024,8,0.145,-6.463,1,0.0561,102.682,4,0.271,"Layne Staley, Jerry Cantrell","Toby Wright, Dave Jerden"
I Can't Have You Blues,Music Bank,compilation album,1999,Alice In Chains,240,0.00496,0.333,0.975,0.0,1,0.308,-3.847,1,0.136,142.995,4,0.322,Jerry Cantrell,"Alice in Chains, Parashar"
Whatcha Gonna Do,Music Bank,compilation album,1999,Alice In Chains,173,0.0292,0.388,0.99,1.06e-05,1,0.0637,-4.209,1,0.102,151.494,4,0.536,"Layne Staley, Jerry Cantrell","Alice in Chains, Parashar"
Social Parasite,Music Bank,compilation album,1999,Alice In Chains,261,0.00318,0.399,0.971,1.12e-06,8,0.337,-4.107,1,0.0853,138.942,4,0.398,"Layne Staley, Jerry Cantrell","Alice in Chains, Parashar"
Queen of the Rodeo,Music Bank,compilation album,1999,Alice In Chains,278,0.00243,0.155,0.743,0.128,1,0.392,-7.636,1,0.0473,50.465,4,0.369,"Layne Staley, Jett Silver",Mark Naficy
Bleed the Freak,Music Bank,compilation album,1999,Alice In Chains,211,0.0012,0.169,0.773,0.0648,5,0.0759,-5.567,0,0.0479,127.104,4,0.409,Jerry Cantrell,"Alice in Chains, Parashar"
Killing Yourself,Music Bank,compilation album,1999,Alice In Chains,158,0.00424,0.417,0.967,0.0,8,0.371,-4.347,1,0.184,143.105,4,0.233,"Layne Staley, Jerry Cantrell","Alice in Chains, Parashar"
We Die Young,Music Bank,compilation album,1999,Alice In Chains,152,3.82e-05,0.472,0.971,0.00023,1,0.248,-3.635,1,0.0703,125.74,4,0.422,Jerry Cantrell,Dave Jerden
Man in the Box,Music Bank,compilation album,1999,Alice In Chains,287,0.00112,0.338,0.853,0.0,8,0.0759,-4.589,1,0.0482,106.118,4,0.694,"Layne Staley, Jerry Cantrell",Dave Jerden
Sea Of Sorrow,Music Bank,compilation album,1999,Alice In Chains,321,0.00498,0.312,0.907,0.0,11,0.0504,-4.033,1,0.0724,130.681,4,0.324,,
I Can't Remember,Music Bank,compilation album,1999,Alice In Chains,223,0.00756,0.265,0.822,0.000117,8,0.211,-4.926,1,0.0444,104.287,4,0.196,"Layne Staley, Jerry Cantrell",Dave Jerden
"Love, Hate, Love",Music Bank,compilation album,1999,Alice In Chains,389,0.0341,0.303,0.726,0.000367,8,0.0424,-5.566,1,0.0479,102.528,4,0.158,"Layne Staley, Jerry Cantrell",Dave Jerden
It Ain't Like That,Music Bank,compilation album,1999,Alice In Chains,278,0.0313,0.426,0.907,0.000136,8,0.243,-4.199,1,0.0415,103.078,4,0.623,"Jerry Cantrell, Sean Kinney",Dave Jerden
Confusion,Music Bank,compilation album,1999,Alice In Chains,345,0.0125,0.197,0.826,0.000406,3,0.0704,-4.713,1,0.0416,71.397,4,0.0982,"Layne Staley, Jerry Cantrell",Dave Jerden
Rooster,Music Bank,compilation album,1999,Alice In Chains,346,0.0229,0.322,0.568,0.00138,8,0.123,-6.74,1,0.0259,154.351,4,0.181,Jerry Cantrell,"Dave Jerden, Alice in Chains"
Rooster,Music Bank,compilation album,1999,Alice In Chains,346,0.0229,0.322,0.568,0.00138,8,0.123,-6.74,1,0.0259,154.351,4,0.181,Jerry Cantrell,
Right Turn,Music Bank,compilation album,1999,Alice In Chains,194,0.175,0.505,0.408,0.0,8,0.177,-7.436,1,0.0231,96.405,4,0.245,Jerry Cantrell,"Alice in Chains, Parashar"
Got Me Wrong,Music Bank,compilation album,1999,Alice In Chains,249,0.146,0.485,0.915,0.00144,8,0.21,-4.954,1,0.0651,83.45,4,0.215,,
Rain When I Die,Music Bank,compilation album,1999,Alice In Chains,362,0.0395,0.409,0.915,0.0013,9,0.117,-5.348,1,0.0988,120.145,3,0.163,"Layne Staley, Jerry Cantrell, Sean Kinney","Dave Jerden, Alice in Chains"
Fear The Voices,Music Bank,compilation album,1999,Alice In Chains,297,0.04,0.281,0.953,0.000298,4,0.148,-5.376,1,0.0848,101.15,4,0.345,,
Them Bones,Music Bank,compilation album,1999,Alice In Chains,149,0.0255,0.156,0.956,9.64e-05,9,0.313,-4.578,1,0.0623,165.217,1,0.345,Jerry Cantrell,"Dave Jerden, Alice in Chains"
Dam That River,Music Bank,compilation album,1999,Alice In Chains,189,0.00957,0.424,0.934,0.0,6,0.44,-4.19,0,0.0722,124.317,4,0.488,Jerry Cantrell,"Dave Jerden, Alice in Chains"
Sickman,Music Bank,compilation album,1999,Alice In Chains,329,0.018,0.279,0.948,0.00495,1,0.0971,-4.416,1,0.119,140.916,3,0.235,"Layne Staley, Jerry Cantrell","Dave Jerden, Alice in Chains"
Rooster,Music Bank,compilation album,1999,Alice In Chains,374,0.139,0.256,0.627,0.00178,3,0.116,-5.726,1,0.0276,145.54,4,0.172,Jerry Cantrell,"Dave Jerden, Alice in Chains"
Rooster,Music Bank,compilation album,1999,Alice In Chains,374,0.139,0.256,0.627,0.00178,3,0.116,-5.726,1,0.0276,145.54,4,0.172,Jerry Cantrell,
Junkhead,Music Bank,compilation album,1999,Alice In Chains,310,0.000132,0.278,0.762,0.000141,4,0.137,-5.437,1,0.0379,138.74,4,0.299,"Layne Staley, Jerry Cantrell","Alice in Chains, Parashar"
Dirt,Music Bank,compilation album,1999,Alice In Chains,316,0.0232,0.24,0.963,4.38e-06,1,0.154,-3.484,1,0.0867,113.578,4,0.174,"Layne Staley, Jerry Cantrell","Dave Jerden, Alice in Chains"
God Smack,Music Bank,compilation album,1999,Alice In Chains,230,0.063,0.496,0.969,1.26e-05,10,0.158,-3.881,0,0.111,124.055,4,0.178,,
Iron Gland,Music Bank,compilation album,1999,Alice In Chains,43,0.354,0.0755,0.44,0.105,3,0.603,-5.641,1,0.0442,81.158,1,0.524,Jerry Cantrell,"Dave Jerden, Alice in Chains"
Angry Chair,Music Bank,compilation album,1999,Alice In Chains,287,0.0731,0.315,0.972,1.2e-06,8,0.0594,-3.845,1,0.111,107.388,4,0.123,Layne Staley,"Dave Jerden, Alice in Chains"
Lying Season,Music Bank,compilation album,1999,Alice In Chains,199,0.000169,0.204,0.913,0.00857,1,0.041,-5.226,1,0.054,101.886,4,0.332,"Layne Staley, Jerry Cantrell","Alice in Chains, Parashar"
Would?,Music Bank,compilation album,1999,Alice In Chains,207,0.00621,0.295,0.926,0.00051,6,0.0694,-5.438,1,0.0648,100.231,4,0.442,Jerry Cantrell,"Alice in Chains, Parashar"
Brother,Music Bank,compilation album,1999,Alice In Chains,267,0.384,0.45,0.541,4.95e-05,1,0.105,-6.823,1,0.0269,91.556,4,0.276,Jerry Cantrell,"Alice in Chains, Parashar"
Am I Inside,Music Bank,compilation album,1999,Alice In Chains,308,0.872,0.413,0.32,0.0019,1,0.11,-8.987,1,0.0271,95.816,4,0.0477,"Layne Staley, Jerry Cantrell","Alice in Chains, Parashar"
I Stay Away,Music Bank,compilation album,1999,Alice In Chains,254,0.0815,0.201,0.85,0.00106,6,0.091,-5.329,1,0.0427,83.014,4,0.344,"Layne Staley, Jerry Cantrell, Mike Inez",Alice in Chains
No Excuses,Music Bank,compilation album,1999,Alice In Chains,257,0.0204,0.527,0.849,0.000126,3,0.0744,-4.91,1,0.0312,117.436,4,0.708,Jerry Cantrell,Alice in Chains
Down in a Hole,Music Bank,compilation album,1999,Alice In Chains,337,0.0527,0.354,0.826,0.000294,6,0.122,-5.552,1,0.0364,97.248,4,0.409,Jerry Cantrell,"Dave Jerden, Alice in Chains"
Hate To Feel,Music Bank,compilation album,1999,Alice In Chains,316,0.25,0.285,0.94,0.0,8,0.236,-4.257,1,0.0982,138.722,4,0.0723,Layne Staley,"Dave Jerden, Alice in Chains"
What the Hell Have I - Remix,Music Bank,compilation album,1999,Alice In Chains,234,0.00691,0.204,0.815,9.18e-05,8,0.191,-5.157,1,0.037,200.486,4,0.676,Jerry Cantrell,Alice in Chains
A Little Bitter - Remix,Music Bank,compilation album,1999,Alice In Chains,228,0.0202,0.427,0.943,4.71e-05,8,0.0841,-6.149,1,0.263,122.925,4,0.309,"Layne Staley, Jerry Cantrell, Mike Inez, Sean Kinney",Alice in Chains
Grind,Music Bank,compilation album,1999,Alice In Chains,284,0.000216,0.242,0.92,0.000374,11,0.426,-4.632,1,0.0522,176.24,4,0.305,Jerry Cantrell,"Toby Wright, Alice in Chains"
Again - Tattoo of Pain Mix,Music Bank,compilation album,1999,"Alice In Chains, Praga Kahn, Oliver Adams",241,1.39e-05,0.499,0.932,0.143,7,0.395,-4.703,1,0.0596,123.043,4,0.325,,
Head Creeps,Music Bank,compilation album,1999,Alice In Chains,388,0.00191,0.276,0.989,0.249,8,0.252,-4.445,1,0.0739,101.064,4,0.19,Layne Staley,"Toby Wright, Alice in Chains"
God Am,Music Bank,compilation album,1999,Alice In Chains,251,0.0129,0.439,0.96,0.011,11,0.0961,-4.365,1,0.263,157.644,4,0.384,"Layne Staley, Jerry Cantrell, Mike Inez, Sean Kinney","Toby Wright, Alice in Chains"
Frogs,Music Bank,compilation album,1999,Alice In Chains,497,0.0206,0.383,0.538,0.415,11,0.116,-7.691,1,0.0291,93.268,4,0.0667,"Layne Staley, Jerry Cantrell, Mike Inez, Sean Kinney","Toby Wright, Alice in Chains"
Heaven Beside You,Music Bank,compilation album,1999,Alice In Chains,330,0.00273,0.529,0.784,0.000797,10,0.11,-4.559,0,0.0355,111.244,4,0.521,"Jerry Cantrell, Mike Inez","Toby Wright, Alice in Chains"
Nutshell,Music Bank,compilation album,1999,Alice In Chains,268,0.259,0.376,0.522,0.149,3,0.98,-10.942,0,0.0352,123.247,3,0.232,"Layne Staley, Jerry Cantrell, Mike Inez, Sean Kinney","Toby Wright, Alice in Chains"
The Killer Is Me,Music Bank,compilation album,1999,Alice In Chains,316,0.236,0.456,0.726,0.171,10,0.716,-8.957,0,0.04,121.786,4,0.316,Jerry Cantrell,"Toby Wright, Alice in Chains"
Over Now,Music Bank,compilation album,1999,Alice In Chains,355,0.12,0.478,0.56,0.0585,5,0.692,-7.653,0,0.0286,111.118,4,0.285,"Jerry Cantrell, Sean Kinney","Toby Wright, Alice in Chains"
Died,Music Bank,compilation album,1999,Alice In Chains,357,0.0413,0.448,0.812,0.00244,6,0.0928,-6.495,1,0.0327,104.588,4,0.497,"Layne Staley, Jerry Cantrell","Dave Jerden, Toby Wright"
Bleed the Freak,Live,live album,2000,Alice In Chains,273,0.000539,0.202,0.843,0.103,8,0.992,-6.009,1,0.0622,116.619,4,0.31,Jerry Cantrell,
Queen of the Rodeo,Live,live album,2000,Alice In Chains,280,0.00644,0.207,0.75,0.0903,10,0.973,-8.158,0,0.0474,145.634,4,0.402,"Layne Staley, Jett Silver",Mark Naficy
Angry Chair,Live,live album,2000,Alice In Chains,262,1.69e-05,0.265,0.946,0.0164,8,0.442,-5.617,1,0.0903,110.677,4,0.192,Layne Staley,Tony Wilson
Man in the Box,Live,live album,2000,Alice In Chains,288,2.46e-05,0.387,0.964,0.0372,1,0.697,-5.626,1,0.12,115.141,4,0.215,"Layne Staley, Jerry Cantrell",Tony Wilson
"Love, Hate, Love",Live,live album,2000,Alice In Chains,467,0.00137,0.19,0.77,0.0744,8,0.965,-7.375,1,0.0731,89.676,4,0.13,"Layne Staley, Jerry Cantrell",Tony Wilson
Rooster,Live,live album,2000,Alice In Chains,408,0.00783,0.269,0.659,0.00508,8,0.686,-7.123,1,0.0397,133.087,3,0.177,Jerry Cantrell,Tony Wilson
Would?,Live,live album,2000,Alice In Chains,228,1.79e-05,0.203,0.922,0.535,1,0.789,-6.358,1,0.0682,92.48,4,0.27,Jerry Cantrell,Tony Wilson
Junkhead,Live,live album,2000,Alice In Chains,320,4.03e-05,0.326,0.902,0.00726,4,0.968,-6.156,1,0.0749,135.282,4,0.267,"Layne Staley, Jerry Cantrell",Tony Wilson
Dirt,Live,live album,2000,Alice In Chains,323,0.00229,0.254,0.956,0.328,6,0.976,-4.454,0,0.0686,122.484,4,0.259,,
Them Bones,Live,live album,2000,Alice In Chains,159,0.0388,0.0839,0.96,4.84e-05,9,0.965,-4.276,1,0.0787,169.416,1,0.212,Jerry Cantrell,
God Am,Live,live album,2000,Alice In Chains,238,0.076,0.214,0.97,0.00857,8,0.961,-4.539,0,0.112,163.128,4,0.305,"Layne Staley, Jerry Cantrell, Mike Inez, Sean Kinney",
Again,Live,live album,2000,Alice In Chains,263,0.0568,0.424,0.986,0.00899,10,0.871,-5.02,0,0.102,125.909,4,0.071,"Layne Staley, Jerry Cantrell",
A Little Bitter,Live,live album,2000,Alice In Chains,231,0.00479,0.252,0.986,3.73e-05,8,0.904,-3.948,0,0.226,120.782,4,0.119,"Layne Staley, Jerry Cantrell, Mike Inez, Sean Kinney",
Dam That River,Live,live album,2000,Alice In Chains,212,0.00194,0.299,0.976,1.97e-05,6,0.985,-3.585,0,0.126,127.82,4,0.133,Jerry Cantrell,
We Die Young,The Essential Alice In Chains,compilation album,2006,Alice In Chains,152,4.66e-05,0.462,0.97,0.000267,1,0.331,-3.651,1,0.0708,125.802,4,0.389,Jerry Cantrell,Dave Jerden
Man in the Box,The Essential Alice In Chains,compilation album,2006,Alice In Chains,286,0.00136,0.337,0.849,0.0,8,0.0904,-4.604,1,0.0456,106.395,4,0.685,"Layne Staley, Jerry Cantrell",Dave Jerden
Sea Of Sorrow,The Essential Alice In Chains,compilation album,2006,Alice In Chains,350,0.0534,0.262,0.912,0.0,11,0.0509,-4.166,1,0.095,122.577,4,0.204,Jerry Cantrell,Dave Jerden
"Love, Hate, Love",The Essential Alice In Chains,compilation album,2006,Alice In Chains,388,0.0291,0.306,0.724,0.000328,8,0.0421,-5.584,1,0.0455,103.607,4,0.179,"Layne Staley, Jerry Cantrell",Dave Jerden
Am I Inside,The Essential Alice In Chains,compilation album,2006,Alice In Chains,308,0.873,0.415,0.319,0.00154,1,0.11,-9.092,1,0.0274,97.497,4,0.0462,"Layne Staley, Jerry Cantrell","Alice in Chains, Parashar"
Brother,The Essential Alice In Chains,compilation album,2006,Alice In Chains,268,0.375,0.451,0.542,6.76e-05,1,0.0945,-6.832,1,0.0267,91.636,4,0.275,Jerry Cantrell,"Alice in Chains, Parashar"
Got Me Wrong,The Essential Alice In Chains,compilation album,2006,Alice In Chains,250,0.14,0.489,0.915,0.000969,8,0.197,-4.925,1,0.0568,83.352,4,0.231,Jerry Cantrell,"Alice in Chains, Parashar"
Right Turn,The Essential Alice In Chains,compilation album,2006,Alice In Chains,194,0.199,0.498,0.397,0.0,8,0.178,-7.441,1,0.024,96.435,4,0.238,Jerry Cantrell,"Alice in Chains, Parashar"
Rain When I Die,The Essential Alice In Chains,compilation album,2006,Alice In Chains,362,0.0397,0.408,0.92,0.000799,9,0.133,-5.169,1,0.0988,120.053,3,0.136,"Layne Staley, Jerry Cantrell, Sean Kinney","Dave Jerden, Alice in Chains"
Them Bones,The Essential Alice In Chains,compilation album,2006,Alice In Chains,150,0.0209,0.154,0.951,4.18e-05,9,0.238,-4.557,1,0.0658,165.249,1,0.328,Jerry Cantrell,"Dave Jerden, Alice in Chains"
Angry Chair,The Essential Alice In Chains,compilation album,2006,Alice In Chains,288,0.0642,0.313,0.973,1.22e-06,8,0.0581,-3.855,1,0.109,107.3,4,0.118,Layne Staley,"Dave Jerden, Alice in Chains"
Dam That River,The Essential Alice In Chains,compilation album,2006,Alice In Chains,189,0.00671,0.426,0.939,0.0,6,0.412,-4.174,0,0.0732,124.317,4,0.457,Jerry Cantrell,"Dave Jerden, Alice in Chains"
Dirt,The Essential Alice In Chains,compilation album,2006,Alice In Chains,316,0.0207,0.241,0.965,4.79e-06,1,0.177,-3.49,1,0.0925,112.616,4,0.168,"Layne Staley, Jerry Cantrell","Dave Jerden, Alice in Chains"
God Smack,The Essential Alice In Chains,compilation album,2006,Alice In Chains,230,0.0637,0.496,0.969,7.73e-06,10,0.102,-3.785,0,0.117,124.046,4,0.198,"Layne Staley, Jerry Cantrell","Dave Jerden, Alice in Chains"
Hate To Feel,The Essential Alice In Chains,compilation album,2006,Alice In Chains,316,0.231,0.28,0.942,0.0,8,0.0693,-4.238,1,0.0989,138.719,4,0.0773,,
Rooster,The Essential Alice In Chains,compilation album,2006,Alice In Chains,376,0.153,0.254,0.628,0.00202,3,0.123,-5.721,1,0.0274,146.004,4,0.148,Jerry Cantrell,"Dave Jerden, Alice in Chains"
No Excuses,The Essential Alice In Chains,compilation album,2006,Alice In Chains,256,0.0278,0.528,0.852,0.000211,3,0.0785,-4.923,1,0.0311,117.428,4,0.727,Jerry Cantrell,Alice in Chains
I Stay Away,The Essential Alice In Chains,compilation album,2006,Alice In Chains,254,0.104,0.177,0.84,0.000375,6,0.0883,-5.295,1,0.043,80.428,4,0.321,"Layne Staley, Jerry Cantrell, Mike Inez",Alice in Chains
What the Hell Have I - Remix,The Essential Alice In Chains,compilation album,2006,Alice In Chains,234,0.00607,0.203,0.818,0.000207,8,0.17,-5.223,1,0.0376,200.54,4,0.644,Jerry Cantrell,Alice in Chains
A Little Bitter - Remix,The Essential Alice In Chains,compilation album,2006,Alice In Chains,228,0.0152,0.416,0.942,3.54e-05,8,0.083,-6.152,1,0.23,122.784,4,0.313,"Layne Staley, Jerry Cantrell, Mike Inez, Sean Kinney",Alice in Chains
Grind,The Essential Alice In Chains,compilation album,2006,Alice In Chains,286,0.000229,0.381,0.915,0.000648,11,0.425,-4.611,1,0.0411,88.321,4,0.381,Jerry Cantrell,"Toby Wright, Alice in Chains"
Heaven Beside You,The Essential Alice In Chains,compilation album,2006,Alice In Chains,329,0.00239,0.539,0.784,0.000736,10,0.114,-4.571,0,0.0352,111.257,4,0.484,"Jerry Cantrell, Mike Inez","Toby Wright, Alice in Chains"
Again,The Essential Alice In Chains,compilation album,2006,Alice In Chains,245,0.000635,0.543,0.91,0.0231,7,0.158,-5.339,1,0.0537,123.158,4,0.365,"Layne Staley, Jerry Cantrell","Toby Wright, Alice in Chains"
Over Now,The Essential Alice In Chains,compilation album,2006,Alice In Chains,356,0.0978,0.645,0.561,0.0424,5,0.692,-7.716,0,0.0276,111.559,4,0.25,"Jerry Cantrell, Sean Kinney","Toby Wright, Alice in Chains"
Nutshell,The Essential Alice In Chains,compilation album,2006,Alice In Chains,272,0.224,0.383,0.503,0.113,3,0.976,-11.069,0,0.0311,122.417,3,0.237,"Layne Staley, Jerry Cantrell, Mike Inez, Sean Kinney","Toby Wright, Alice in Chains"
Get Born Again,The Essential Alice In Chains,compilation album,2006,Alice In Chains,324,0.00134,0.337,0.866,0.0334,8,0.123,-6.481,1,0.0543,102.672,4,0.285,"Layne Staley, Jerry Cantrell","Toby Wright, Dave Jerden"
Died,The Essential Alice In Chains,compilation album,2006,Alice In Chains,357,0.0401,0.451,0.805,0.00273,8,0.0789,-6.525,1,0.0336,104.562,4,0.488,"Layne Staley, Jerry Cantrell","Dave Jerden, Toby Wright"
Would?,The Essential Alice In Chains,compilation album,2006,Alice In Chains,208,0.00699,0.293,0.924,0.000614,6,0.0566,-5.437,1,0.0637,100.309,4,0.478,Jerry Cantrell,"Alice in Chains, Parashar"
Get Born Again,Nothing Safe,box set,1999,Alice In Chains,327,0.00163,0.342,0.861,0.0497,8,0.159,-6.657,1,0.0533,102.917,4,0.298,,
We Die Young,Nothing Safe,box set,1999,Alice In Chains,146,0.000464,0.333,0.948,1.12e-06,1,0.0364,-6.278,0,0.0673,132.647,4,0.342,Jerry Cantrell,"Alice in Chains, Parashar"
Man in the Box,Nothing Safe,box set,1999,Alice In Chains,286,0.00233,0.349,0.833,4.76e-06,8,0.0579,-6.441,1,0.0467,106.428,4,0.7,"Layne Staley, Jerry Cantrell",Dave Jerden
Them Bones,Nothing Safe,box set,1999,Alice In Chains,149,0.0224,0.162,0.949,7.18e-06,9,0.386,-5.227,1,0.0611,164.622,1,0.301,Jerry Cantrell,"Dave Jerden, Alice in Chains"
Iron Gland,Nothing Safe,box set,1999,Alice In Chains,44,0.31,0.172,0.541,0.616,3,0.799,-6.441,1,0.0481,97.804,3,0.455,Jerry Cantrell,"Dave Jerden, Alice in Chains"
Angry Chair,Nothing Safe,box set,1999,Alice In Chains,286,0.0437,0.325,0.948,0.0,8,0.0392,-5.081,1,0.0955,107.264,4,0.157,Layne Staley,"Dave Jerden, Alice in Chains"
Down in a Hole,Nothing Safe,box set,1999,Alice In Chains,337,0.014,0.358,0.819,0.000141,6,0.124,-5.495,1,0.0328,97.197,4,0.434,Jerry Cantrell,"Dave Jerden, Alice in Chains"
Rooster,Nothing Safe,box set,1999,Alice In Chains,413,0.00545,0.26,0.619,0.00832,8,0.723,-8.4,1,0.0382,137.304,3,0.181,Jerry Cantrell,Tony Wilson
Got Me Wrong,Nothing Safe,box set,1999,Alice In Chains,263,0.0761,0.579,0.683,4.96e-05,8,0.936,-7.535,1,0.0281,81.764,4,0.328,Jerry Cantrell,"Toby Wright, Alice in Chains"
No Excuses,Nothing Safe,box set,1999,Alice In Chains,255,0.0185,0.524,0.837,0.000648,3,0.0877,-5.342,1,0.0322,117.432,4,0.715,Jerry Cantrell,Alice in Chains
I Stay Away,Nothing Safe,box set,1999,Alice In Chains,254,0.0436,0.197,0.784,0.00359,6,0.0839,-6.229,1,0.0418,81.778,4,0.285,"Layne Staley, Jerry Cantrell, Mike Inez",Alice in Chains
What the Hell Have I,Nothing Safe,box set,1999,Alice In Chains,237,0.00127,0.445,0.917,0.0028,8,0.356,-4.683,1,0.0407,100.254,4,0.564,,
Grind,Nothing Safe,box set,1999,Alice In Chains,284,0.000163,0.239,0.906,0.000418,11,0.457,-4.662,1,0.0488,176.333,4,0.385,Jerry Cantrell,"Toby Wright, Alice in Chains"
Again,Nothing Safe,box set,1999,Alice In Chains,246,0.000808,0.547,0.906,0.0119,7,0.115,-5.24,1,0.0534,123.185,4,0.381,"Layne Staley, Jerry Cantrell","Toby Wright, Alice in Chains"
Would?,Nothing Safe,box set,1999,Alice In Chains,208,0.000369,0.305,0.853,7.54e-06,6,0.0548,-7.156,1,0.0499,101.062,4,0.637,Jerry Cantrell,"Alice in Chains, Parashar"
